Manufacture_year,Brand,Model,Km_Driven,Registration,Transmission_type,Fuel,Price
2012,Maruti,Maruti Wagon R 1.0,99.90k,AP-10,Manual,Petrol,2.04 lakh
2014,Maruti,Maruti Alto 800 LXI,29.29k,AP-09,Manual,Petrol,1.99 lakh
2016,Honda,Honda BR-V 1.5L I-VTEC,56.18k,TS-09,Auto,Petrol,5.02 lakh
2013,Renault,Renault Scala RXE DIESEL,,AP-10,Manual,Diesel,1.89 lakh
2016,Maruti,Maruti Celerio ZXI AMT,71.19k,TS-03,Auto,Petrol,3.68 lakh
2015,Maruti,Maruti Baleno DELTA CVT,97.19k,TS-10,Auto,Petrol,3.50 lakh
2023,Mahindra,Mahindra Thar LX PETROL,27.24k,TS-08,Auto,Petrol,12.79 lakh
2022,Nissan,Nissan MAGNITE XV TURBO,40.15k,TS-08,Auto,Petrol,6.27 lakh
2021,Tata,Tata ALTROZ XZ PETROL,84.29k,TS-07,Manual,Petrol,5.22 lakh
2019,Tata,Tata NEXON XMA PETROL,48.45k,TS-08,Auto,Petrol,5.66 lakh
2012,Honda,Honda City 1.5L I-VTEC,53.87k,AP-10,Manual,Petrol,3.05 lakh
2015,Renault,Renault Lodgy 85 PS,88.56k,TS-08,Manual,Diesel,3.29 lakh
2015,Hyundai,Hyundai Xcent SX 1.2,76.40k,TS-07,Manual,Petrol,3.75 lakh
2015,Maruti,Maruti Celerio ZXI AMT,,TS-08,Auto,Petrol,2.69 lakh
2018,Tata,Tata NEXON XZA PLUS,,TS-08,Auto,Diesel,6.17 lakh
2020,Tata,Tata Tiago XZ PETROL,,TS-35,Manual,Petrol,3.17 lakh
2014,Hyundai,Hyundai Grand i10 ASTA,75.20k,TS-09,Manual,Petrol,3.45 lakh
2020,Toyota,Toyota URBAN CRUISER 1.5L,,TS-08,Auto,Petrol,8.08 lakh
2018,Maruti,Maruti Swift VXI AMT,47.51k,TS-09,Auto,Petrol,4.45 lakh
2020,Maruti,Maruti New Wagon-R VXI,55.85k,TS-07,Manual,Petrol,3.56 lakh
2012,Maruti,Maruti Wagon R 1.0,99.90k,AP-10,Manual,Petrol,2.04 lakh
2014,Maruti,Maruti Alto 800 LXI,29.29k,AP-09,Manual,Petrol,1.99 lakh
2016,Honda,Honda BR-V 1.5L I-VTEC,56.18k,TS-09,Auto,Petrol,5.02 lakh
2013,Renault,Renault Scala RXE DIESEL,,AP-10,Manual,Diesel,1.89 lakh
2016,Maruti,Maruti Celerio ZXI AMT,71.19k,TS-03,Auto,Petrol,3.68 lakh
2015,Maruti,Maruti Baleno DELTA CVT,97.19k,TS-10,Auto,Petrol,3.50 lakh
2023,Mahindra,Mahindra Thar LX PETROL,27.24k,TS-08,Auto,Petrol,12.79 lakh
2022,Nissan,Nissan MAGNITE XV TURBO,40.15k,TS-08,Auto,Petrol,6.27 lakh
2021,Tata,Tata ALTROZ XZ PETROL,84.29k,TS-07,Manual,Petrol,5.22 lakh
2019,Tata,Tata NEXON XMA PETROL,48.45k,TS-08,Auto,Petrol,5.66 lakh
2012,Honda,Honda City 1.5L I-VTEC,53.87k,AP-10,Manual,Petrol,3.05 lakh
2015,Renault,Renault Lodgy 85 PS,88.56k,TS-08,Manual,Diesel,3.29 lakh
2015,Hyundai,Hyundai Xcent SX 1.2,76.40k,TS-07,Manual,Petrol,3.75 lakh
2015,Maruti,Maruti Celerio ZXI AMT,,TS-08,Auto,Petrol,2.69 lakh
2018,Tata,Tata NEXON XZA PLUS,,TS-08,Auto,Diesel,6.17 lakh
2020,Tata,Tata Tiago XZ PETROL,,TS-35,Manual,Petrol,3.17 lakh
2014,Hyundai,Hyundai Grand i10 ASTA,75.20k,TS-09,Manual,Petrol,3.45 lakh
2020,Toyota,Toyota URBAN CRUISER 1.5L,,TS-08,Auto,Petrol,8.08 lakh
2018,Maruti,Maruti Swift VXI AMT,47.51k,TS-09,Auto,Petrol,4.45 lakh
2020,Maruti,Maruti New Wagon-R VXI,55.85k,TS-07,Manual,Petrol,3.56 lakh
2012,Maruti,Maruti Wagon R 1.0,99.90k,AP-10,Manual,Petrol,2.04 lakh
2014,Maruti,Maruti Alto 800 LXI,29.29k,AP-09,Manual,Petrol,1.99 lakh
2016,Honda,Honda BR-V 1.5L I-VTEC,56.18k,TS-09,Auto,Petrol,5.02 lakh
2013,Renault,Renault Scala RXE DIESEL,,AP-10,Manual,Diesel,1.89 lakh
2016,Maruti,Maruti Celerio ZXI AMT,71.19k,TS-03,Auto,Petrol,3.68 lakh
2015,Maruti,Maruti Baleno DELTA CVT,97.19k,TS-10,Auto,Petrol,3.50 lakh
2023,Mahindra,Mahindra Thar LX PETROL,27.24k,TS-08,Auto,Petrol,12.79 lakh
2022,Nissan,Nissan MAGNITE XV TURBO,40.15k,TS-08,Auto,Petrol,6.27 lakh
2021,Tata,Tata ALTROZ XZ PETROL,84.29k,TS-07,Manual,Petrol,5.22 lakh
2019,Tata,Tata NEXON XMA PETROL,48.45k,TS-08,Auto,Petrol,5.66 lakh
2012,Honda,Honda City 1.5L I-VTEC,53.87k,AP-10,Manual,Petrol,3.05 lakh
2015,Renault,Renault Lodgy 85 PS,88.56k,TS-08,Manual,Diesel,3.29 lakh
2015,Hyundai,Hyundai Xcent SX 1.2,76.40k,TS-07,Manual,Petrol,3.75 lakh
2015,Maruti,Maruti Celerio ZXI AMT,,TS-08,Auto,Petrol,2.69 lakh
2018,Tata,Tata NEXON XZA PLUS,,TS-08,Auto,Diesel,6.17 lakh
2020,Tata,Tata Tiago XZ PETROL,,TS-35,Manual,Petrol,3.17 lakh
2014,Hyundai,Hyundai Grand i10 ASTA,75.20k,TS-09,Manual,Petrol,3.45 lakh
2020,Toyota,Toyota URBAN CRUISER 1.5L,,TS-08,Auto,Petrol,8.08 lakh
2018,Maruti,Maruti Swift VXI AMT,47.51k,TS-09,Auto,Petrol,4.45 lakh
2020,Maruti,Maruti New Wagon-R VXI,55.85k,TS-07,Manual,Petrol,3.56 lakh
2012,Maruti,Maruti Wagon R 1.0,99.90k,AP-10,Manual,Petrol,2.04 lakh
2014,Maruti,Maruti Alto 800 LXI,29.29k,AP-09,Manual,Petrol,1.99 lakh
2016,Honda,Honda BR-V 1.5L I-VTEC,56.18k,TS-09,Auto,Petrol,5.02 lakh
2013,Renault,Renault Scala RXE DIESEL,,AP-10,Manual,Diesel,1.89 lakh
2016,Maruti,Maruti Celerio ZXI AMT,71.19k,TS-03,Auto,Petrol,3.68 lakh
2015,Maruti,Maruti Baleno DELTA CVT,97.19k,TS-10,Auto,Petrol,3.50 lakh
2023,Mahindra,Mahindra Thar LX PETROL,27.24k,TS-08,Auto,Petrol,12.79 lakh
2022,Nissan,Nissan MAGNITE XV TURBO,40.15k,TS-08,Auto,Petrol,6.27 lakh
2021,Tata,Tata ALTROZ XZ PETROL,84.29k,TS-07,Manual,Petrol,5.22 lakh
2019,Tata,Tata NEXON XMA PETROL,48.45k,TS-08,Auto,Petrol,5.66 lakh
2012,Honda,Honda City 1.5L I-VTEC,53.87k,AP-10,Manual,Petrol,3.05 lakh
2015,Renault,Renault Lodgy 85 PS,88.56k,TS-08,Manual,Diesel,3.29 lakh
2015,Hyundai,Hyundai Xcent SX 1.2,76.40k,TS-07,Manual,Petrol,3.75 lakh
2015,Maruti,Maruti Celerio ZXI AMT,,TS-08,Auto,Petrol,2.69 lakh
2018,Tata,Tata NEXON XZA PLUS,,TS-08,Auto,Diesel,6.17 lakh
2020,Tata,Tata Tiago XZ PETROL,,TS-35,Manual,Petrol,3.17 lakh
2014,Hyundai,Hyundai Grand i10 ASTA,75.20k,TS-09,Manual,Petrol,3.45 lakh
2020,Toyota,Toyota URBAN CRUISER 1.5L,,TS-08,Auto,Petrol,8.08 lakh
2018,Maruti,Maruti Swift VXI AMT,47.51k,TS-09,Auto,Petrol,4.45 lakh
2020,Maruti,Maruti New Wagon-R VXI,55.85k,TS-07,Manual,Petrol,3.56 lakh
2012,Maruti,Maruti Wagon R 1.0,99.90k,AP-10,Manual,Petrol,2.04 lakh
2014,Maruti,Maruti Alto 800 LXI,29.29k,AP-09,Manual,Petrol,1.99 lakh
2016,Honda,Honda BR-V 1.5L I-VTEC,56.18k,TS-09,Auto,Petrol,5.02 lakh
2013,Renault,Renault Scala RXE DIESEL,,AP-10,Manual,Diesel,1.89 lakh
2016,Maruti,Maruti Celerio ZXI AMT,71.19k,TS-03,Auto,Petrol,3.68 lakh
2015,Maruti,Maruti Baleno DELTA CVT,97.19k,TS-10,Auto,Petrol,3.50 lakh
2023,Mahindra,Mahindra Thar LX PETROL,27.24k,TS-08,Auto,Petrol,12.79 lakh
2022,Nissan,Nissan MAGNITE XV TURBO,40.15k,TS-08,Auto,Petrol,6.27 lakh
2021,Tata,Tata ALTROZ XZ PETROL,84.29k,TS-07,Manual,Petrol,5.22 lakh
2019,Tata,Tata NEXON XMA PETROL,48.45k,TS-08,Auto,Petrol,5.66 lakh
2012,Honda,Honda City 1.5L I-VTEC,53.87k,AP-10,Manual,Petrol,3.05 lakh
2015,Renault,Renault Lodgy 85 PS,88.56k,TS-08,Manual,Diesel,3.29 lakh
2015,Hyundai,Hyundai Xcent SX 1.2,76.40k,TS-07,Manual,Petrol,3.75 lakh
2015,Maruti,Maruti Celerio ZXI AMT,,TS-08,Auto,Petrol,2.69 lakh
2018,Tata,Tata NEXON XZA PLUS,,TS-08,Auto,Diesel,6.17 lakh
2020,Tata,Tata Tiago XZ PETROL,,TS-35,Manual,Petrol,3.17 lakh
2014,Hyundai,Hyundai Grand i10 ASTA,75.20k,TS-09,Manual,Petrol,3.45 lakh
2020,Toyota,Toyota URBAN CRUISER 1.5L,,TS-08,Auto,Petrol,8.08 lakh
2018,Maruti,Maruti Swift VXI AMT,47.51k,TS-09,Auto,Petrol,4.45 lakh
2020,Maruti,Maruti New Wagon-R VXI,55.85k,TS-07,Manual,Petrol,3.56 lakh
2012,Maruti,Maruti Wagon R 1.0,99.90k,AP-10,Manual,Petrol,2.04 lakh
2014,Maruti,Maruti Alto 800 LXI,29.29k,AP-09,Manual,Petrol,1.99 lakh
2016,Honda,Honda BR-V 1.5L I-VTEC,56.18k,TS-09,Auto,Petrol,5.02 lakh
2013,Renault,Renault Scala RXE DIESEL,,AP-10,Manual,Diesel,1.89 lakh
2016,Maruti,Maruti Celerio ZXI AMT,71.19k,TS-03,Auto,Petrol,3.68 lakh
2015,Maruti,Maruti Baleno DELTA CVT,97.19k,TS-10,Auto,Petrol,3.50 lakh
2023,Mahindra,Mahindra Thar LX PETROL,27.24k,TS-08,Auto,Petrol,12.79 lakh
2022,Nissan,Nissan MAGNITE XV TURBO,40.15k,TS-08,Auto,Petrol,6.27 lakh
2021,Tata,Tata ALTROZ XZ PETROL,84.29k,TS-07,Manual,Petrol,5.22 lakh
2019,Tata,Tata NEXON XMA PETROL,48.45k,TS-08,Auto,Petrol,5.66 lakh
2012,Honda,Honda City 1.5L I-VTEC,53.87k,AP-10,Manual,Petrol,3.05 lakh
2015,Renault,Renault Lodgy 85 PS,88.56k,TS-08,Manual,Diesel,3.29 lakh
2015,Hyundai,Hyundai Xcent SX 1.2,76.40k,TS-07,Manual,Petrol,3.75 lakh
2015,Maruti,Maruti Celerio ZXI AMT,,TS-08,Auto,Petrol,2.69 lakh
2018,Tata,Tata NEXON XZA PLUS,,TS-08,Auto,Diesel,6.17 lakh
2020,Tata,Tata Tiago XZ PETROL,,TS-35,Manual,Petrol,3.17 lakh
2014,Hyundai,Hyundai Grand i10 ASTA,75.20k,TS-09,Manual,Petrol,3.45 lakh
2020,Toyota,Toyota URBAN CRUISER 1.5L,,TS-08,Auto,Petrol,8.08 lakh
2018,Maruti,Maruti Swift VXI AMT,47.51k,TS-09,Auto,Petrol,4.45 lakh
2020,Maruti,Maruti New Wagon-R VXI,55.85k,TS-07,Manual,Petrol,3.56 lakh
2012,Maruti,Maruti Wagon R 1.0,99.90k,AP-10,Manual,Petrol,2.04 lakh
2014,Maruti,Maruti Alto 800 LXI,29.29k,AP-09,Manual,Petrol,1.99 lakh
2016,Honda,Honda BR-V 1.5L I-VTEC,56.18k,TS-09,Auto,Petrol,5.02 lakh
2013,Renault,Renault Scala RXE DIESEL,,AP-10,Manual,Diesel,1.89 lakh
2016,Maruti,Maruti Celerio ZXI AMT,71.19k,TS-03,Auto,Petrol,3.68 lakh
2015,Maruti,Maruti Baleno DELTA CVT,97.19k,TS-10,Auto,Petrol,3.50 lakh
2023,Mahindra,Mahindra Thar LX PETROL,27.24k,TS-08,Auto,Petrol,12.79 lakh
2022,Nissan,Nissan MAGNITE XV TURBO,40.15k,TS-08,Auto,Petrol,6.27 lakh
2021,Tata,Tata ALTROZ XZ PETROL,84.29k,TS-07,Manual,Petrol,5.22 lakh
2019,Tata,Tata NEXON XMA PETROL,48.45k,TS-08,Auto,Petrol,5.66 lakh
2012,Honda,Honda City 1.5L I-VTEC,53.87k,AP-10,Manual,Petrol,3.05 lakh
2015,Renault,Renault Lodgy 85 PS,88.56k,TS-08,Manual,Diesel,3.29 lakh
2015,Hyundai,Hyundai Xcent SX 1.2,76.40k,TS-07,Manual,Petrol,3.75 lakh
2015,Maruti,Maruti Celerio ZXI AMT,,TS-08,Auto,Petrol,2.69 lakh
2018,Tata,Tata NEXON XZA PLUS,,TS-08,Auto,Diesel,6.17 lakh
2020,Tata,Tata Tiago XZ PETROL,,TS-35,Manual,Petrol,3.17 lakh
2014,Hyundai,Hyundai Grand i10 ASTA,75.20k,TS-09,Manual,Petrol,3.45 lakh
2020,Toyota,Toyota URBAN CRUISER 1.5L,,TS-08,Auto,Petrol,8.08 lakh
2018,Maruti,Maruti Swift VXI AMT,47.51k,TS-09,Auto,Petrol,4.45 lakh
2020,Maruti,Maruti New Wagon-R VXI,55.85k,TS-07,Manual,Petrol,3.56 lakh
2012,Maruti,Maruti Wagon R 1.0,99.90k,AP-10,Manual,Petrol,2.04 lakh
2014,Maruti,Maruti Alto 800 LXI,29.29k,AP-09,Manual,Petrol,1.99 lakh
2016,Honda,Honda BR-V 1.5L I-VTEC,56.18k,TS-09,Auto,Petrol,5.02 lakh
2013,Renault,Renault Scala RXE DIESEL,,AP-10,Manual,Diesel,1.89 lakh
2016,Maruti,Maruti Celerio ZXI AMT,71.19k,TS-03,Auto,Petrol,3.68 lakh
2015,Maruti,Maruti Baleno DELTA CVT,97.19k,TS-10,Auto,Petrol,3.50 lakh
2023,Mahindra,Mahindra Thar LX PETROL,27.24k,TS-08,Auto,Petrol,12.79 lakh
2022,Nissan,Nissan MAGNITE XV TURBO,40.15k,TS-08,Auto,Petrol,6.27 lakh
2021,Tata,Tata ALTROZ XZ PETROL,84.29k,TS-07,Manual,Petrol,5.22 lakh
2019,Tata,Tata NEXON XMA PETROL,48.45k,TS-08,Auto,Petrol,5.66 lakh
2012,Honda,Honda City 1.5L I-VTEC,53.87k,AP-10,Manual,Petrol,3.05 lakh
2015,Renault,Renault Lodgy 85 PS,88.56k,TS-08,Manual,Diesel,3.29 lakh
2015,Hyundai,Hyundai Xcent SX 1.2,76.40k,TS-07,Manual,Petrol,3.75 lakh
2015,Maruti,Maruti Celerio ZXI AMT,,TS-08,Auto,Petrol,2.69 lakh
2018,Tata,Tata NEXON XZA PLUS,,TS-08,Auto,Diesel,6.17 lakh
2020,Tata,Tata Tiago XZ PETROL,,TS-35,Manual,Petrol,3.17 lakh
2014,Hyundai,Hyundai Grand i10 ASTA,75.20k,TS-09,Manual,Petrol,3.45 lakh
2020,Toyota,Toyota URBAN CRUISER 1.5L,,TS-08,Auto,Petrol,8.08 lakh
2018,Maruti,Maruti Swift VXI AMT,47.51k,TS-09,Auto,Petrol,4.45 lakh
2020,Maruti,Maruti New Wagon-R VXI,55.85k,TS-07,Manual,Petrol,3.56 lakh
2012,Maruti,Maruti Wagon R 1.0,99.90k,AP-10,Manual,Petrol,2.04 lakh
2014,Maruti,Maruti Alto 800 LXI,29.29k,AP-09,Manual,Petrol,1.99 lakh
2016,Honda,Honda BR-V 1.5L I-VTEC,56.18k,TS-09,Auto,Petrol,5.02 lakh
2013,Renault,Renault Scala RXE DIESEL,,AP-10,Manual,Diesel,1.89 lakh
2016,Maruti,Maruti Celerio ZXI AMT,71.19k,TS-03,Auto,Petrol,3.68 lakh
2015,Maruti,Maruti Baleno DELTA CVT,97.19k,TS-10,Auto,Petrol,3.50 lakh
2023,Mahindra,Mahindra Thar LX PETROL,27.24k,TS-08,Auto,Petrol,12.79 lakh
2022,Nissan,Nissan MAGNITE XV TURBO,40.15k,TS-08,Auto,Petrol,6.27 lakh
2021,Tata,Tata ALTROZ XZ PETROL,84.29k,TS-07,Manual,Petrol,5.22 lakh
2019,Tata,Tata NEXON XMA PETROL,48.45k,TS-08,Auto,Petrol,5.66 lakh
2012,Honda,Honda City 1.5L I-VTEC,53.87k,AP-10,Manual,Petrol,3.05 lakh
2015,Renault,Renault Lodgy 85 PS,88.56k,TS-08,Manual,Diesel,3.29 lakh
2015,Hyundai,Hyundai Xcent SX 1.2,76.40k,TS-07,Manual,Petrol,3.75 lakh
2015,Maruti,Maruti Celerio ZXI AMT,,TS-08,Auto,Petrol,2.69 lakh
2018,Tata,Tata NEXON XZA PLUS,,TS-08,Auto,Diesel,6.17 lakh
2020,Tata,Tata Tiago XZ PETROL,,TS-35,Manual,Petrol,3.17 lakh
2014,Hyundai,Hyundai Grand i10 ASTA,75.20k,TS-09,Manual,Petrol,3.45 lakh
2020,Toyota,Toyota URBAN CRUISER 1.5L,,TS-08,Auto,Petrol,8.08 lakh
2018,Maruti,Maruti Swift VXI AMT,47.51k,TS-09,Auto,Petrol,4.45 lakh
2020,Maruti,Maruti New Wagon-R VXI,55.85k,TS-07,Manual,Petrol,3.56 lakh
2012,Maruti,Maruti Wagon R 1.0,99.90k,AP-10,Manual,Petrol,2.04 lakh
2014,Maruti,Maruti Alto 800 LXI,29.29k,AP-09,Manual,Petrol,1.99 lakh
2016,Honda,Honda BR-V 1.5L I-VTEC,56.18k,TS-09,Auto,Petrol,5.02 lakh
2013,Renault,Renault Scala RXE DIESEL,,AP-10,Manual,Diesel,1.89 lakh
2016,Maruti,Maruti Celerio ZXI AMT,71.19k,TS-03,Auto,Petrol,3.68 lakh
2015,Maruti,Maruti Baleno DELTA CVT,97.19k,TS-10,Auto,Petrol,3.50 lakh
2023,Mahindra,Mahindra Thar LX PETROL,27.24k,TS-08,Auto,Petrol,12.79 lakh
2022,Nissan,Nissan MAGNITE XV TURBO,40.15k,TS-08,Auto,Petrol,6.27 lakh
2021,Tata,Tata ALTROZ XZ PETROL,84.29k,TS-07,Manual,Petrol,5.22 lakh
2019,Tata,Tata NEXON XMA PETROL,48.45k,TS-08,Auto,Petrol,5.66 lakh
2012,Honda,Honda City 1.5L I-VTEC,53.87k,AP-10,Manual,Petrol,3.05 lakh
2015,Renault,Renault Lodgy 85 PS,88.56k,TS-08,Manual,Diesel,3.29 lakh
2015,Hyundai,Hyundai Xcent SX 1.2,76.40k,TS-07,Manual,Petrol,3.75 lakh
2015,Maruti,Maruti Celerio ZXI AMT,,TS-08,Auto,Petrol,2.69 lakh
2018,Tata,Tata NEXON XZA PLUS,,TS-08,Auto,Diesel,6.17 lakh
2020,Tata,Tata Tiago XZ PETROL,,TS-35,Manual,Petrol,3.17 lakh
2014,Hyundai,Hyundai Grand i10 ASTA,75.20k,TS-09,Manual,Petrol,3.45 lakh
2020,Toyota,Toyota URBAN CRUISER 1.5L,,TS-08,Auto,Petrol,8.08 lakh
2018,Maruti,Maruti Swift VXI AMT,47.51k,TS-09,Auto,Petrol,4.45 lakh
